Date,Measurer,DateMeasured,Tank,Treatment,Species,SVL,TL,HW,Girth,Notes,,
3/21/2018,TLA,3/27/2018,11,one_date,AMAN,,37.146,6.458,4.149,,,
3/21/2018,TLA,3/27/2018,11,one_date,AMAN,,33.122,6.296,3.867,,,
3/21/2018,TLA,3/27/2018,11,one_date,AMAN,,34.886,6.299,4.184,,,
3/21/2018,TLA,3/27/2018,11,one_date,AMAN,,34.324,6.046,4.174,,,
3/21/2018,TLA,3/27/2018,12,six_dates,AMAN,,34.728,6.067,3.603,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,35.186,6.38,4.417,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,38.768,7.073,5.203,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,38.78,7.633,4.558,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,29.876,5.897,4.135,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,32.24,6.07,3.562,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,37.979,7.043,4.657,,,
3/21/2018,TLA,3/27/2018,13,one_date,AMAN,,37.287,6.517,4.718,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,23.848,43.493,7.672,5.148,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,20.97,40.955,7.594,4.778,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,,36.85,7.21,3.76,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,22.027,41.655,7.493,5.032,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,,29.59,5.922,3.44,,,
3/21/2018,TLA,3/27/2018,14,one_date,AMAN,,29.878,5.929,3.515,,,
3/21/2018,TLA,3/27/2018,15,six_dates,AMAN,22.958,43.159,7.465,5.486,,,
3/21/2018,TLA,3/27/2018,15,six_dates,AMAN,,26.437,4.677,2.894,,,
3/21/2018,TLA,3/27/2018,15,six_dates,AMAN,,30.186,5.435,2.795,,,
3/21/2018,TLA,3/27/2018,15,six_dates,AMAN,23.24,45.122,7.813,5.441,,,
3/21/2018,TLA,3/27/2018,15,six_dates,AMAN,,29.909,6.055,3.257,,,
3/21/2018,TLA,3/27/2018,16,one_date,AMAN,21.553,37.452,7.227,4.801,,,
3/21/2018,TLA,3/27/2018,16,one_date,AMAN,,28.486,5.47,2.829,,,
3/21/2018,TLA,3/27/2018,16,one_date,AMAN,22.196,42.47,8.627,6.138,,,
3/21/2018,TLA,3/27/2018,16,one_date,AMAN,,31.342,6.359,3.367,,,
3/21/2018,TLA,3/27/2018,17,three_dates,AMAN,29.903,58.807,9.801,7.1,,,
3/21/2018,TLA,3/27/2018,17,three_dates,AMAN,33.363,66.893,10.043,8.214,,,
3/21/2018,TLA,3/27/2018,17,three_dates,AMAN,35.144,68.302,10.673,6.557,,,
3/21/2018,TLA,3/27/2018,17,three_dates,AMAN,,27.943,6.073,2.897,,,
3/21/2018,TLA,3/27/2018,18,three_dates,AMAN,24.517,47.258,8.567,6.273,,,
3/21/2018,TLA,3/27/2018,18,three_dates,AMAN,,23.096,4.771,1.948,,,
3/21/2018,TLA,3/27/2018,18,three_dates,AMAN,,27.144,5.55,3.114,,,
3/21/2018,TLA,3/27/2018,18,three_dates,AMAN,25.369,51.291,8.654,7.399,,,
4/9/2018,TLA,5/4/2018,1,one_date,AMAN,32.342,60.716,9.959,7.093,,,
4/9/2018,TLA,5/4/2018,1,one_date,AMAN,30.735,55.979,10.142,7.643,,,
4/9/2018,TLA,5/4/2018,1,one_date,AMAN,30.195,58.134,9.296,6.451,,,
4/9/2018,TLA,5/4/2018,1,one_date,AMAN,28.771,51.781,8.602,5.926,,,
4/9/2018,TLA,5/4/2018,1,one_date,AMAN,29.139,55.729,10.008,7.184,,,
4/9/2018,TLA,5/4/2018,2,three_dates,AMAN,24.6,44.947,8.429,4.535,,,
4/9/2018,TLA,5/4/2018,2,three_dates,AMAN,,40.807,7.303,3.469,,,
4/9/2018,TLA,5/4/2018,2,three_dates,AMAN,23.832,42.391,8.025,4.38,,,
4/9/2018,TLA,5/4/2018,2,three_dates,AMAN,27.421,54.658,8.935,5.068,,,
4/9/2018,TLA,5/4/2018,2,three_dates,AMAN,,34.925,6.089,3.774,,,
4/9/2018,TLA,5/4/2018,3,six_dates,AMAN,23.816,42.938,7.946,4.88,,,
4/9/2018,TLA,5/4/2018,4,three_dates,AMAN,25.965,50.54,8.607,6.601,,,
4/9/2018,TLA,5/4/2018,4,three_dates,AMAN,24.277,46.067,8.227,4.924,,,
4/9/2018,TLA,5/4/2018,4,three_dates,AMAN,27.86,52.765,9.686,5.84,,,
4/9/2018,TLA,5/4/2018,4,three_dates,AMAN,23.459,37.855,8.047,4.971,,,
4/9/2018,TLA,5/4/2018,4,three_dates,AMAN,25.095,46.968,8.489,5.105,,,
4/9/2018,TLA,5/4/2018,5,six_dates,AMAN,,42.704,7.647,4.356,,,
4/9/2018,TLA,5/4/2018,5,six_dates,AMAN,,45.379,7.347,4.002,,,
4/9/2018,TLA,5/4/2018,5,six_dates,AMAN,,42.438,8.178,4.332,,,
4/9/2018,TLA,5/4/2018,5,six_dates,AMAN,,39.611,7.433,4.248,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,25.41,44.561,8.525,4.936,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,21.24,38.072,6.989,3.871,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,21.006,39.409,7.753,4.689,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,22.013,38.036,7.45,3.792,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,23.512,43.541,8.346,5.598,,,
4/9/2018,TLA,5/4/2018,7,one_date,AMAN,26.506,48.758,8.745,4.779,,,
4/9/2018,TLA,5/4/2018,8,six_dates,AMAN,25.997,47.348,8.852,4.781,,,
4/9/2018,TLA,5/4/2018,8,six_dates,AMAN,30.422,53.446,8.797,5.279,,,
4/9/2018,TLA,5/4/2018,8,six_dates,AMAN,27.674,51.172,8.794,5.387,,,
4/9/2018,TLA,5/4/2018,8,six_dates,AMAN,29.139,56.336,9.948,6.351,,,
4/9/2018,TLA,5/4/2018,8,six_dates,AMAN,28.566,53.009,9.493,5.704,,,
4/9/2018,TLA,5/4/2018,9,three_dates,AMAN,28.519,53.101,8.941,5.386,,,
4/9/2018,TLA,5/4/2018,9,three_dates,AMAN,28.102,47.715,8.958,5.165,,,
4/9/2018,TLA,5/4/2018,9,three_dates,AMAN,26.408,50.833,8.139,4.901,,,
4/9/2018,TLA,5/4/2018,9,three_dates,AMAN,24.952,46.413,8.436,4.597,,,
4/9/2018,TLA,5/4/2018,9,three_dates,AMAN,,39.728,7.422,3.834,,,
4/9/2018,TLA,5/4/2018,10,three_dates,AMAN,29.187,55.509,9.461,6.049,,,
4/9/2018,TLA,5/4/2018,10,three_dates,AMAN,30.917,59.485,9.278,6.94,,,
4/9/2018,TLA,5/4/2018,10,three_dates,AMAN,31.347,60.622,10.08,6.47,,,
4/9/2018,TLA,5/4/2018,10,three_dates,AMAN,23.072,40.654,7.062,3.444,,,
4/9/2018,TLA,5/4/2018,10,three_dates,AMAN,21.069,37.502,7.656,3.533,,,
4/9/2018,TLA,5/4/2018,11,one_date,AMAN,27.953,53.081,8.021,5.972,,,
4/9/2018,TLA,5/4/2018,11,one_date,AMAN,26.264,48.797,8.04,5.532,,,
4/9/2018,TLA,5/4/2018,11,one_date,AMAN,25.684,47.022,7.928,5.854,,,
4/9/2018,TLA,5/4/2018,11,one_date,AMAN,27.362,50.135,7.73,6.508,,,
4/9/2018,TLA,5/4/2018,11,one_date,AMAN,24.465,42.416,8.112,5.578,,,
4/9/2018,TLA,5/4/2018,12,six_dates,AMAN,,46.478,7.24,4.346,,,
4/9/2018,TLA,5/4/2018,12,six_dates,AMAN,22.954,36.713,6.891,4.352,,,
4/9/2018,TLA,5/4/2018,12,six_dates,AMAN,25.216,42.634,7.526,4.718,,,
4/9/2018,TLA,5/4/2018,12,six_dates,AMAN,23.971,46.245,7.66,4.75,,,
4/9/2018,TLA,5/4/2018,12,six_dates,AMAN,24.589,49.151,7.812,5.313,,,
4/9/2018,TLA,5/4/2018,13,one_date,AMAN,21.365,39.427,7.748,4.047,,,
4/9/2018,TLA,5/4/2018,13,one_date,AMAN,22.751,44.268,7.507,4.012,,,
4/9/2018,TLA,5/4/2018,13,one_date,AMAN,25.025,48.178,8.436,5.163,,,
4/9/2018,TLA,5/4/2018,14,one_date,AMAN,24.495,44.006,7.869,4.699,,,
4/9/2018,TLA,5/4/2018,14,one_date,AMAN,25.728,48.423,8.633,5.259,,,
4/9/2018,TLA,5/4/2018,14,one_date,AMAN,21.728,41.166,6.991,3.704,,,
4/9/2018,TLA,5/4/2018,14,one_date,AMAN,21.942,42.351,8.172,4.173,,,
4/9/2018,TLA,5/4/2018,14,one_date,AMAN,23.808,44.67,8.338,4.621,,,
4/9/2018,TLA,5/4/2018,15,six_dates,AMAN,,34.679,5.563,2.962,,,
4/9/2018,TLA,5/4/2018,15,six_dates,AMAN,17.975,35.305,6.426,3.074,,,
4/9/2018,TLA,5/4/2018,15,six_dates,AMAN,25.838,47.044,7.143,4.337,,,
4/9/2018,TLA,5/4/2018,15,six_dates,AMAN,22.314,37.496,7.057,3.772,,,
4/9/2018,TLA,5/4/2018,15,six_dates,AMAN,30.316,56.156,8.471,6.368,,,
4/9/2018,TLA,5/4/2018,16,one_date,AMAN,27.447,52.78,8.921,6.087,,,
4/9/2018,TLA,5/4/2018,16,one_date,AMAN,20.975,38.47,7.039,4.202,,,
4/9/2018,TLA,5/4/2018,16,one_date,AMAN,25.861,48.368,8.437,5.783,,,
4/9/2018,TLA,5/4/2018,16,one_date,AMAN,,30.764,5.544,2.886,,,
4/9/2018,TLA,5/4/2018,17,three_dates,AMAN,,31.017,6.802,3.092,,,
4/9/2018,TLA,5/4/2018,17,three_dates,AMAN,,45.34,7.987,4.379,,,
4/9/2018,TLA,5/4/2018,17,three_dates,AMAN,37.101,76.037,11.144,8.958,,,
4/9/2018,TLA,5/4/2018,17,three_dates,AMAN,22.968,39.277,7.316,3.405,,,
4/9/2018,TLA,5/4/2018,17,three_dates,AMAN,36.451,73.836,10.999,8.246,,,
4/9/2018,TLA,5/4/2018,18,three_dates,AMAN,37.538,79.515,10.879,7.59,,,
4/9/2018,TLA,5/4/2018,18,three_dates,AMAN,29.78,60.996,9.264,6.446,,,
4/9/2018,TLA,5/4/2018,18,three_dates,AMAN,27.523,52.322,8.12,3.867,,,
4/9/2018,TLA,5/4/2018,18,three_dates,AMAN,24.429,48.348,8.18,6.031,,,
4/26/2018,TLA,5/4/2018,1,one_date,AMAN,35.024,67.044,10.605,9.16,,,
4/26/2018,TLA,5/4/2018,1,one_date,AMAN,33.916,61.447,9.442,8.237,,,
4/26/2018,TLA,5/4/2018,1,one_date,AMAN,36.544,71.304,10.239,7.923,,,
4/26/2018,TLA,5/4/2018,1,one_date,AMAN,39.286,74.505,12.02,8.791,,,
4/26/2018,TLA,5/4/2018,1,one_date,AMAN,38.865,76.539,10.969,8.884,,,
4/26/2018,TLA,5/4/2018,2,three_dates,AMAN,25.1,44.822,8.171,26.309,,,
4/26/2018,TLA,5/4/2018,2,three_dates,AMAN,26.309,49.416,8.262,4.908,,,
4/26/2018,TLA,5/4/2018,2,three_dates,AMAN,28.636,52.798,8.633,4.831,,,
4/26/2018,TLA,5/4/2018,4,three_dates,AMAN,36.142,69.951,10.298,7.874,,,
4/26/2018,TLA,5/4/2018,4,three_dates,AMAN,33.829,62.07,10.717,7.288,,,
4/26/2018,TLA,5/4/2018,4,three_dates,AMAN,33.83,66.721,9.443,8.256,,,
4/26/2018,TLA,5/4/2018,4,three_dates,AMAN,31.669,55.407,10.107,7.493,,,
4/26/2018,TLA,5/4/2018,4,three_dates,AMAN,35.153,64.242,9.307,7.249,,,
4/26/2018,TLA,5/4/2018,5,six_dates,AMAN,31.972,60.611,10.118,6.569,,,
4/26/2018,TLA,5/4/2018,5,six_dates,AMAN,32.415,63.036,9.069,7.137,,,
4/26/2018,TLA,5/4/2018,5,six_dates,AMAN,34.075,61.26,9.978,7.73,,,
4/26/2018,TLA,5/4/2018,5,six_dates,AMAN,32.389,62.082,10.046,7.462,,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,7,one_date,AMAN,,,,,need to fix ruler,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,24.437,42.034,8.38,5.343,,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,30.651,56.961,9.42,6.454,,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,34.5,62.528,10.894,8.62,,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,29.526,61.225,10.077,8.739,,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,38.744,70.53,11.032,7.856,,,
4/26/2018,TLA,5/4/2018,8,six_dates,AMAN,35.337,66.198,10.653,8.328,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,33.29,63.562,9.75,6.387,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,30.123,56.532,9.056,5.437,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,30.349,55.554,8.452,6.46,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,29.456,56.681,9.013,5.84,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,27.333,50.806,8.035,5.237,,,
4/26/2018,TLA,5/4/2018,9,three_dates,AMAN,27.634,51.341,7.485,5.88,,,
4/26/2018,TLA,5/4/2018,10,three_dates,AMAN,28.611,51.469,8.339,5.595,,,
4/26/2018,TLA,5/4/2018,10,three_dates,AMAN,33.047,64.747,11.58,7.785,,,
4/26/2018,TLA,5/4/2018,10,three_dates,AMAN,33.091,64.451,9.926,7.78,,,
4/26/2018,TLA,5/4/2018,10,three_dates,AMAN,21.102,38.43,7.022,3.614,,,
4/26/2018,TLA,5/4/2018,10,three_dates,AMAN,34.605,68.449,11.134,9.718,,,
4/26/2018,TLA,5/4/2018,11,one_date,AMAN,37.357,73.555,11.505,9.784,,,
4/26/2018,TLA,5/4/2018,11,one_date,AMAN,35.336,70.335,10.834,8.691,,,
4/26/2018,TLA,5/4/2018,11,one_date,AMAN,33.586,60.516,9.764,8.594,,,
4/26/2018,TLA,5/4/2018,11,one_date,AMAN,35.321,65.437,10.205,8.575,,,
4/26/2018,TLA,5/4/2018,11,one_date,AMAN,35.02,64.877,11.396,9.305,,,
4/26/2018,TLA,5/4/2018,12,six_dates,AMAN,29.733,57.545,8.597,6.37,,,
4/26/2018,TLA,5/4/2018,12,six_dates,AMAN,24.39,45.179,8.125,4.524,,,
4/26/2018,TLA,5/4/2018,12,six_dates,AMAN,31.478,60.489,8.969,6.13,,,
4/26/2018,TLA,5/4/2018,12,six_dates,AMAN,26.842,45.062,7.609,4.623,,,
4/26/2018,TLA,5/4/2018,12,six_dates,AMAN,31.849,61.789,9.525,6.501,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,28.971,56.718,10.148,5.558,,,        
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,32.116,62.545,9.897,5.766,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,29.173,57.333,8.812,6.282,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,33.031,61.24,9.547,6.21,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,23.626,43.873,8.416,4.734,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,32.784,62.983,9.745,7.235,,,
4/26/2018,TLA,5/4/2018,13,one_date,AMAN,22.351,40.425,6.983,4.261,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,31.283,55.615,9.123,7.091,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,31.54,61.871,9.455,6.612,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,30.224,59.371,9.902,6.289,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,30.696,59.841,9.886,6.545,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,27.096,51.189,7.466,6.032,,,
4/26/2018,TLA,5/4/2018,14,one_date,AMAN,30.331,57.391,9.658,6.484,,,
4/26/2018,TLA,5/4/2018,15,six_dates,AMAN,29.413,54.495,8.35,4.822,,,
4/26/2018,TLA,5/4/2018,15,six_dates,AMAN,32.692,60.919,9.759,7.235,,,
4/26/2018,TLA,5/4/2018,15,six_dates,AMAN,31.99,61.032,9,7.237,,,
4/26/2018,TLA,5/4/2018,15,six_dates,AMAN,26.138,49.501,7.93,4.524,,,
4/26/2018,TLA,5/4/2018,15,six_dates,AMAN,20.029,39.913,7.1,3.885,,,
4/26/2018,TLA,5/4/2018,16,one_date,AMAN,33.837,65.547,10.215,7.324,,,
4/26/2018,TLA,5/4/2018,16,one_date,AMAN,25.921,46.627,7.513,5.079,,,
4/26/2018,TLA,5/4/2018,16,one_date,AMAN,28.063,53.165,8.356,5.298,,,
4/26/2018,TLA,5/4/2018,17,three_dates,AMAN,40.339,84.554,10.86,10.682,,,
4/26/2018,TLA,5/4/2018,17,three_dates,AMAN,41.129,82.993,11.532,11.578,,,
4/26/2018,TLA,5/4/2018,17,three_dates,AMAN,29.318,58.557,8.808,7.11,,,
4/26/2018,TLA,5/4/2018,17,three_dates,AMAN,28.322,47.663,8.355,6.261,,,
4/26/2018,TLA,5/4/2018,18,three_dates,AMAN,36.249,72.071,10.187,9.89,,,
4/26/2018,TLA,5/4/2018,18,three_dates,AMAN,31.684,63.801,10.192,6.627,,,
4/26/2018,TLA,5/4/2018,18,three_dates,AMAN,29.483,54.396,9.052,6.533,,,
4/26/2018,TLA,5/4/2018,18,three_dates,AMAN,26.312,47.905,8.188,5.926,,,
4/26/2018,TLA,5/4/2018,18,three_dates,AMAN,35.354,69.558,9.702,8.313,,,
